date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-23 23:59:12,fhclutti,BlogPageNFound,0,0,0,"Se é louco ??? Melhor ver as notícias do Corona vírus que é menos trágica que os 7x1",,,,1242239505148633090,https://twitter.com/fhclutti/status/1242239505148633090
2020-03-23 23:59:12,BolaStarsInfo,,0,0,0,"https://kabarxbolastars.blogspot.com/2020/03/pemilik-charlton-tahnoon-nimer-ingin.html Pemilik Charlton, Tahnoon Nimer ingin memastikan masa depan klub melalui krisis coronavirus Pemilik Charlton, Tahnoon Nimer mengatakan bahwa dia akan segera menyuntikkan uang ke klub untuk menjaga masa depannya selama krisis coronavirus. ",,,,1242239504720658432,https://twitter.com/BolaStarsInfo/status/1242239504720658432
2020-03-23 23:59:12,Dracufizzo,,1,0,3,"Gracias coronavirus por ahorrarme 200 pavos porque ahora ya sí que no voy a poder hacer el Proficiency cuando me gradúe ni de coña",,,,1242239504167194625,https://twitter.com/Dracufizzo/status/1242239504167194625
2020-03-23 23:59:12,nthoughtsss,dudaadallanora,0,0,0,"2 mas amo mto",,,,1242239504015998978,https://twitter.com/nthoughtsss/status/1242239504015998978
2020-03-23 23:59:12,JPOMBOPAK,,1,4,3,"Es muy lamentable que por culpa de algunas personas inconscientes, muchos sean contagiados por el #coronavirus de forma mortal... @policia @guardiacivil... #YoMeQuedoEnMiCasa",,@policia @guardiacivil,#coronavirus #YoMeQuedoEnMiCasa,1242239503919722498,https://twitter.com/JPOMBOPAK/status/1242239503919722498
2020-03-23 23:59:12,Jaxx702,,0,1,0,"Pelosi's coronavirus stimulus includes return of 'Obamaphones,' other unrelated items, GOP says https://fxn.ws/2QEADVK #FoxNews",,,#FoxNews,1242239503793901575,https://twitter.com/Jaxx702/status/1242239503793901575
2020-03-23 23:59:12,RayoVen,,0,0,0,"Míralo en #Periscope: MÉXICO ¡HORA CERO! #COVID19 #CoronavirusMx #Coronavirus #Pandemia #CuarentenaNacional",,,#Periscope #Periscope #COVID19 #CoronavirusMx #Coronavirus #Pandemia #CuarentenaNacional,1242239503689015296,https://twitter.com/RayoVen/status/1242239503689015296
2020-03-23 23:59:11,spore_printce,JuddLegum,2,0,3,"People have also gotten extremely sick from drinking bleach and rubbing alcohol because the news said that these things kill coronavirus as well. The man who died didn't take the drug, he and his wife drank fish tank cleaner.",,,,1242239503286353922,https://twitter.com/spore_printce/status/1242239503286353922
2020-03-23 23:59:11,MinasCorrup,abloViTo,0,0,1,"Lo es, hasta los críticos no discuten ello.",,,,1242239503168913414,https://twitter.com/MinasCorrup/status/1242239503168913414
2020-03-23 23:59:11,yosyoshuaa,aMrazing,0,0,0,"MLM Agent aja banyak yg gak perform kyk Coronavirus gaes",,,,1242239503026155520,https://twitter.com/yosyoshuaa/status/1242239503026155520
