date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-24 23:52:19,blacksheep_fsu,,0,18,287,"saying “my graduation ceremony was canceled because of coronavirus” -sad -assigns power to The Virus -no one knows how to respond saying “my school is protesting arbitrary traditions in the interest of saving lives” -totally metal -sounds progressive -less sad",,,,1242600161488121857,https://twitter.com/blacksheep_fsu/status/1242600161488121857
2020-03-24 23:52:19,wake_upus,,0,0,0,"'This Is a Massive Scandal': Trump FDA Grants Drug Company Exclusive Claim on Promising Coronavirus Drug #Topbuzz",,,#Topbuzz,1242600161089634304,https://twitter.com/wake_upus/status/1242600161089634304
2020-03-24 23:52:19,saxena_puru,,3,5,11,"Hong Kong will close borders to visitors as it steps up coronavirus fight https://www.scmp.com/news/hong-kong/politics/article/3076426/hong-kong-ban-all-tourists-battle-coronavirus-spread via @scmpnews",,@SCMPNews,,1242600160934252544,https://twitter.com/saxena_puru/status/1242600160934252544
2020-03-24 23:52:19,SensualGemss,,1,4,4,"Bill Gates says the US missed its chance to avoid coronavirus shutdown and businesses should stay closed ",,,,1242600160800247810,https://twitter.com/SensualGemss/status/1242600160800247810
2020-03-24 23:52:19,AdoreCherries,,0,0,0,"Every other tweet on my TL is a ""Due to #COVID19 aka #Coronavirus I'll be sending the first 500 people to like &amp; retweet this $300 -$1500"" tweet. Hammercy. ",,,#COVID19 #Coronavirus,1242600160473030663,https://twitter.com/AdoreCherries/status/1242600160473030663
2020-03-24 23:52:19,ethnicvic,miriamsilva595,0,0,1,"#coronavirusau #covid19australia #Covid_19 #coronavirus ",,,#coronavirusau #covid19australia #Covid_19 #coronavirus,1242600160254775296,https://twitter.com/ethnicvic/status/1242600160254775296
2020-03-24 23:52:19,cooldude1515,,0,3,27,"bro coronavirus can you stop?? ugh so annoying",,,,1242600159835496451,https://twitter.com/cooldude1515/status/1242600159835496451
2020-03-24 23:52:19,AlexgisaRj,FlavioBolsonaro,0,0,0,"Coragem de que? Seu pai correu dos debates. Em momento de ficar em casa foi lá pro meio do povo abraçar os fãs e fazer selfie. No dia seguinte tava dando coletiva com máscara. Recessão será mundial e o Brasil antes do coronavírus já vinha mal mesmo após reforma da previdência.",,,,1242600159684562945,https://twitter.com/AlexgisaRj/status/1242600159684562945
2020-03-24 23:52:19,Politisite,,0,0,0,"People are in multiple levels of protection from #coronavirus nothing, bandanna, mask, mask and gloves. One person abruptly put on an entire protective outfit including his baggage in plastic. Had our loved one not been in ICU, I would have never traveled.",,,#coronavirus,1242600159210545153,https://twitter.com/Politisite/status/1242600159210545153
2020-03-24 23:52:19,Maonaluadias,renan_cvr,1,0,0,"Vcs estão incomodadinhos pq ele falou da manipulação e propaganda q a mídia e vcs da máfia esquerdista mentirosa, estão fazendo em cima do assunto corona vírus seus porraaas",,,,1242600159202217985,https://twitter.com/Maonaluadias/status/1242600159202217985
2020-03-24 23:52:18,AndreaHiguerasM,conaf_minagri,0,0,0,"CONAF, gracias a ustedes camino Traiguen - Victoria lleno d e humo , tenemos que lidiar con el coronavirus + el humo toxico SUMARIO PARA EL QUE AUTORIZA.",,,,1242600159084756992,https://twitter.com/AndreaHiguerasM/status/1242600159084756992
